id,Function_name,description_en,Category,syntax_en,example_en,Tutorial_1,Tutorial_2,Tutorial_3,Tutorial_4
359,PHI,Returns the value of the density function for a standard normal distribution,Statistical,PHI(x),=PHI(0.75),Density of standard normal distribution.,Statistical analyses.,Probability density evaluations.,Research modeling tasks.
360,PHONETIC,Extracts the phonetic (furigana) characters from a text string,Text,PHONETIC(reference),=PHONETIC(A1),Extract phonetic guides (Japanese).,Japanese text processing.,Multilingual data management.,Report preparation in Japanese.
361,PI,Returns the value of pi,Math and trigonometry,PI(),=PI(),Return value of ? (pi).,Geometry calculations.,Mathematical modeling.,Engineering computations.
362,PIVOTBY,"Helps a user group, aggregate, sort, and filter data based on the row and column fields that you specify",Lookup and reference,"PMT(rate,nper,pv,[fv],[type])","=PMT(0.06/12,60,10000)",Calculate payment for loan/investment.,Mortgage payment schedules.,Financial planning.,Loan amortization analysis.
363,PMT,Returns the periodic payment for an annuity,Financial,"POISSON.DIST(x,mean,cumulative)","=POISSON.DIST(3,5,TRUE)",Poisson distribution probabilities.,Event prediction modeling.,Quality control analyses.,Statistical assessments.
364,POISSON,Returns the Poisson distribution,Compatibility,"POWER(number,power)","=POWER(3,4)",Calculate number raised to power.,Exponential growth analyses.,Financial modeling.,Mathematical computations.
365,POISSON.DIST,Returns the Poisson distribution,Statistical,"POISSON(x,mean,cumulative)","=POISSON(2,4,FALSE)",Legacy Poisson function.,Historical statistical evaluations.,Probability event calculations.,Defect analysis scenarios.
366,POWER,Returns the result of a number raised to a power,Math and trigonometry,"PPMT(rate,per,nper,pv,[fv],[type])","=PPMT(0.05/12,1,60,10000)",Principal payment calculation.,Loan amortization tables.,Financial budgeting tasks.,Debt reduction planning.
367,PPMT,Returns the payment on the principal for an investment for a given period,Financial,"PRICE(settlement,maturity,rate,yld,redemption,frequency,[basis])","=PRICE(""2025-01-01"",""2030-01-01"",0.05,0.06,100,2)",Bond pricing calculation.,Investment portfolio analyses.,Risk assessment scenarios.,Financial forecasting.
368,PRICE,Returns the price per $100 face value of a security that pays periodic interest,Financial,"PRICEDISC(settlement,maturity,discount,redemption,[basis])","=PRICEDISC(""2025-01-01"",""2026-01-01"",0.05,100)",Price discounted securities.,Financial market evaluations.,Discount instrument analyses.,Investment scenario planning.
369,PRICEDISC,Returns the price per $100 face value of a discounted security,Financial,"PRICEMAT(settlement,maturity,issue,rate,yld,[basis])","=PRICEMAT(""2025-01-01"",""2030-01-01"",""2025-01-01"",0.05,0.06)",Pricing at maturity of securities.,Investment analysis.,Financial reporting scenarios.,Bond evaluation tasks.
370,PRICEMAT,Returns the price per $100 face value of a security that pays interest at maturity,Financial,"PROB(x_range,prob_range,[lower_limit],[upper_limit])","=PROB(A1:A3,B1:B3,2,4)",Probability calculation with ranges.,Statistical probability assessments.,Risk modeling tasks.,Event likelihood analyses.
371,PROB,Returns the probability that values in a range are between two limits,Statistical,"PRODUCT(number1,[number2],...)",=PRODUCT(A1:A3),Multiply numeric values together.,Revenue calculations.,Compound growth analysis.,Product bundling valuations.
372,PRODUCT,Multiplies its arguments,Math and trigonometry,PROPER(text),"=PROPER(""excel sheet"")",Capitalize words properly.,Data formatting tasks.,Text standardization.,Report preparations.
373,PROPER,Capitalizes the first letter in each word of a text value,Text,"PV(rate,nper,pmt,[fv],[type])","=PV(0.05,5,-200)",Present value calculation.,Investment valuation.,Financial scenario planning.,Project funding assessments.
374,PV,Returns the present value of an investment,Financial,"QUARTILE(array,quart)","=QUARTILE(A1:A8,2)",Legacy quartile calculations.,Statistical data evaluations.,Benchmarking scenarios.,Performance analyses.
375,QUARTILE,Returns the quartile of a data set,Compatibility,"QUARTILE.EXC(array,quart)","=QUARTILE.EXC(A1:A8,3)",Quartile exclusive calculation.,Statistical distributions.,Data benchmarking.,Performance percentile studies.
376,QUARTILE.EXC,"Returns the quartile of the data set, based on percentile values from 0..1, exclusive",Statistical,"QUARTILE.INC(array,quart)","=QUARTILE.INC(A1:A8,1)",Quartile inclusive calculation.,Performance ranking.,Statistical evaluations.,Benchmark analyses.
377,QUARTILE.INC,Returns the quartile of a data set,Statistical,"QUOTIENT(numerator, denominator)","=QUOTIENT(7,3)",Integer division without remainder.,Batch quantity calculations.,Inventory packaging tasks.,Data normalization processes.
378,QUOTIENT,Returns the integer portion of a division,Math and trigonometry,RADIANS(angle),=RADIANS(180),Convert degrees to radians.,Geometry problem-solving.,Engineering angle calculations.,Physics computations.
379,RADIANS,Converts degrees to radians,Math and trigonometry,RAND(),=RAND(),Generate random number between 0-1.,Simulation scenarios.,Random sampling.,Statistical analyses.
380,RAND,Returns a random number between 0 and 1,Math and trigonometry,"RANDARRAY([rows],[columns],[min],[max],[integer])","=RANDARRAY(3,3,1,10,TRUE)",Generate array of random numbers.,Simulation modeling.,Statistical sampling.,Random data generation.
381,RANDARRAY,"Returns an array of random numbers between 0 and 1. However, you can specify the number of rows and columns to fill, minimum and maximum values, and whether to return whole numbers or decimal values.",Math and trigonometry,"RANDBETWEEN(bottom,top)","=RANDBETWEEN(1,100)",Random integer within range.,Lottery number selections.,Random sampling tasks.,Test data generation.
382,RANDBETWEEN,Returns a random number between the numbers you specify,Math and trigonometry,"RANK.AVG(number,ref,[order])","=RANK.AVG(3,A1:A8,0)",Average rank calculation.,Employee performance evaluation.,Statistical rankings.,Sales performance analysis.
383,RANK,Returns the rank of a number in a list of numbers,Compatibility,"RATE(nper,pmt,pv,[fv],[type],[guess])","=RATE(60,-100,5000)",Interest rate per period calculation.,Loan evaluation.,Investment planning.,Financial scenario analysis.
384,RANK.AVG,Returns the rank of a number in a list of numbers,Statistical,"RANK.EQ(number,ref,[order])","=RANK.EQ(4,A1:A9,1)",Equal rank calculation.,Competitive ranking tasks.,Student performance assessment.,Data evaluation reports.
385,RANK.EQ,Returns the rank of a number in a list of numbers,Statistical,"RANK(number,ref,[order])","=RANK(5,A1:A9)",Legacy rank calculation.,Historical data ranking.,Statistical evaluations.,Benchmarking studies.
386,RATE,Returns the interest rate per period of an annuity,Financial,"RECEIVED(settlement,maturity,investment,discount,[basis])","=RECEIVED(""2025-01-01"",""2026-01-01"",1000,0.05)",Amount received at maturity for discounted security.,Investment return analysis.,Financial scenario planning.,Yield assessments.
387,RECEIVED,Returns the amount received at maturity for a fully invested security,Financial,"REDUCE(initial_value,array,lambda)","=REDUCE(0,A1:A5,LAMBDA(acc,val,acc+val))",Aggregate array values.,Sum product calculations.,Data summarization tasks.,Custom financial modeling.
388,REDUCE,Reduces an array to an accumulated value by applying aÂ LAMBDAÂ to each value and returning the total value in the accumulator,Logical,"REGEXEXTRACT(text,regular_expression)","=REGEXEXTRACT(A1,""[0-9]+"")",Extract text using regular expressions.,Data parsing tasks.,Text data analysis.,Custom extraction routines.
389,REGEXEXTRACT,Extracts strings within the provided text that matches the pattern,Text,"REGEXREPLACE(text,regular_expression,replace_text)","=REGEXREPLACE(A1,""[A-Z]"","""")",Replace text using regular expressions.,Data cleansing tasks.,Text formatting.,Report preparation.
390,REGEXREPLACE,Replaces strings within the provided text that matches the pattern with replacement,Text,"REGEXTEST(text,regular_expression)","=REGEXTEST(A1,""^\d{3}-\d{2}-\d{4}$"")",Test text against regular expressions.,Data validation.,Input verification tasks.,Data quality control.
391,REGEXTEST,Determines whether any part of text matches the pattern,Text,"REGISTER.ID(module_text,procedure,type_text)","=REGISTER.ID(""MyAddin.dll"",""MyFunction"",""JJ"")",Call registered external DLL functions.,Advanced automation.,Integration tasks.,Custom calculations.
392,REGISTER.ID,Returns the register ID of the specified dynamic link library (DLL) or code resource that has been previously registered,Add-in and Automation,"REPLACE(old_text,start_num,num_chars,new_text)","=REPLACE(""12345"",2,3,""abc"")",Replace characters in text strings.,Text data cleansing.,Data formatting.,String manipulation tasks.
393,"REPLACE, REPLACEB",Replaces characters within text,Text,"REPLACEB(old_text,start_num,num_bytes,new_text)","=REPLACEB(""??Excel"",3,4,""??"")",Replace bytes in DBCS text.,Asian language data management.,Multilingual data processing.,Data transformation tasks.
394,REPT,Repeats text a given number of times,Text,"REPT(text,number_times)","=REPT(""A"",3)",Repeat text strings multiple times.,Visual formatting tasks.,Report header creations.,Data presentation tasks.
395,RIGHT,Returns the rightmost characters from a text value,Text,"RIGHT(text,[num_chars])","=RIGHT(""Excel"",2)",Extract text from right side.,Data parsing.,String manipulation tasks.,Data formatting.
396,RIGHTB,Returns the rightmost characters from a text value,Text,"RIGHTB(text,[num_bytes])","=RIGHTB(""??Excel"",4)",Extract bytes from right (DBCS).,Multilingual data parsing.,Asian text management.,Data transformation tasks.
397,ROMAN,"Converts an arabic numeral to roman, as text",Math and trigonometry,"ROMAN(number,[form])",=ROMAN(2025),Convert numbers to Roman numerals.,Historical data presentations.,Educational content creation.,Report formatting.
398,ROUND,Rounds a number to a specified number of digits,Math and trigonometry,"ROUND(number,num_digits)","=ROUND(3.14159,2)",Round numbers to specific digits.,Financial report formatting.,Data presentation tasks.,Calculation standardization.
399,ROUNDDOWN,"Rounds a number down, toward zero",Math and trigonometry,"ROUNDDOWN(number,num_digits)","=ROUNDDOWN(7.89,1)",Round numbers downward.,Pricing scenarios.,Inventory management.,Data rounding tasks.
400,ROUNDUP,"Rounds a number up, away from zero",Math and trigonometry,"ROUNDUP(number,num_digits)","=ROUNDUP(5.32,1)",Round numbers upward.,Financial budgeting tasks.,Pricing models.,Data summarization.
401,ROW,Returns the row number of a reference,Lookup and reference,ROW([reference]),=ROW(B3),Get row number of a cell.,Data indexing tasks.,Spreadsheet automation.,Dynamic referencing.
402,ROWS,Returns the number of rows in a reference,Lookup and reference,ROWS(array),=ROWS(A1:A8),Count rows within a range.,Data validation tasks.,Table size calculation.,Dynamic range referencing.
403,RRI,Returns an equivalent interest rate for the growth of an investment,Financial,"RRI(nper,pv,fv)","=RRI(10,1000,2000)",Calculate equivalent interest rate for investment growth.,Investment return analysis.,Financial projections.,Growth scenario planning.
404,RSQ,Returns the square of the Pearson product moment correlation coefficient,Statistical,"RSQ(known_y's,known_x's)","=RSQ(A1:A3,B1:B3)",Calculate squared correlation coefficient.,Regression analysis.,Statistical modeling.,Predictive analytics.
405,RTD,Retrieves real-time data from a program that supports COM automation,Lookup and reference,"RTD(progID,server,topic1,[topic2],...)","=RTD(""stock.quote"","""",""MSFT"")",Real-time data retrieval.,Live financial data analysis.,Dynamic dashboard updates.,Stock market tracking.
406,SCAN,ScansÂ an array by applying aÂ LAMBDAÂ to each value and returns an array that has each intermediate value,Logical,"SCAN(initial_value,array,lambda)","=SCAN(0,A1:A5,LAMBDA(acc,val,acc+val))",Cumulative array calculation.,Running totals in reports.,Progressive financial modeling.,Data analysis tasks.
407,SEARCH,Finds one text value within another (not case-sensitive),Text,"SEARCH(find_text,within_text,[start_num])","=SEARCH(""cel"",""Excel"")",Find position of text within another text (case-insensitive).,Text parsing tasks.,Data extraction processes.,Report generation.
408,SEARCHB,Finds one text value within another (not case-sensitive),Text,"SEARCHB(find_text,within_text,[start_num])","=SEARCHB(""?"",""??Excel"")",Search text within DBCS text.,Asian language parsing.,Data extraction tasks.,Multilingual data handling.
409,SEC,Returns the secant of an angle,Math and trigonometry,SEC(number),=SEC(0.5),Calculate secant of angles.,Engineering computations.,Geometry problem-solving.,Physics simulations.
410,SECH,Returns the hyperbolic secant of an angle,Math and trigonometry,SECH(number),=SECH(1),Hyperbolic secant calculation.,Advanced mathematics.,Engineering scenarios.,Physics computations.
411,SECOND,Converts a serial number to a second,Date and time,SECOND(serial_number),"=SECOND(""12:30:15"")",Extract second component from time.,Event timestamp analysis.,Data logging tasks.,Time-based evaluations.
412,SEQUENCE,"Generates a list of sequential numbers in an array, such as 1, 2, 3, 4",Math and trigonometry,"SEQUENCE(rows,[columns],[start],[step])","=SEQUENCE(5,1,10,2)",Generate numeric sequences.,Automated list creation.,Data series for graphs.,Scenario modeling tasks.
413,SERIESSUM,Returns the sum of a power series based on the formula,Math and trigonometry,"SERIESSUM(x,n,m,coefficients)","=SERIESSUM(2,0,1,A1:A3)",Calculate series sum.,Mathematical computations.,Financial modeling.,Statistical analyses.
414,SHEET,Returns the sheet number of the referenced sheet,Information,SHEET([value]),=SHEET(A1),Identify worksheet index number.,Workbook navigation.,Data referencing tasks.,Spreadsheet automation.
415,SHEETS,Returns the number of sheets in a reference,Information,SHEETS([reference]),=SHEETS(),Count sheets in workbook.,Workbook audits.,Spreadsheet management.,Reporting automation.
416,SIGN,Returns the sign of a number,Math and trigonometry,SIGN(number),=SIGN(-5),Return numeric sign indicator.,Numeric data analysis.,Conditional logic.,Financial report evaluations.
417,SIN,Returns the sine of the given angle,Math and trigonometry,SIN(number),=SIN(PI()/2),Calculate sine of an angle.,Trigonometric calculations.,Engineering wave analysis.,Physics simulations.
418,SINH,Returns the hyperbolic sine of a number,Math and trigonometry,SINH(number),=SINH(2),Calculate hyperbolic sine.,Advanced mathematics.,Engineering problems.,Physics modeling tasks.
419,SKEW,Returns the skewness of a distribution,Statistical,"SKEW(number1,[number2],...)",=SKEW(A1:A8),Measure skewness of a dataset.,Statistical distribution analysis.,Financial data assessments.,Data symmetry evaluations.
420,SKEW.P,Returns the skewness of a distribution based on a population,Statistical,"SKEW.P(number1,[number2],...)",=SKEW.P(B1:B18),Population skewness measure.,Complete dataset analysis.,Financial modeling.,Statistical research.
421,SLN,Returns the straight-line depreciation of an asset for one period,Financial,"SLN(cost,salvage,life)","=SLN(10000,1000,5)",Straight-line depreciation calculation.,Asset management tasks.,Financial reporting.,Budgeting scenarios.
422,SLOPE,Returns the slope of the linear regression line,Statistical,"SLOPE(known_y's,known_x's)","=SLOPE(A1:A8,B1:B8)",Calculate slope of regression line.,Trend analysis.,Sales forecasting.,Statistical modeling.
423,SMALL,Returns the k-th smallest value in a data set,Statistical,"SMALL(array,k)","=SMALL(A1:A8,2)",Find the k-th smallest value.,Performance ranking tasks.,Cost evaluation.,Inventory management analyses.
424,SORT,Sorts the contents of a range or array,Lookup and reference,"SORT(array,[sort_index],[sort_order],[by_col])","=SORT(A1:C8,2,-1,FALSE)",Sort arrays dynamically.,Data presentation tasks.,Report generation.,Database queries.
425,SORTBY,Sorts the contents of a range or array based on the values in a corresponding range or array,Lookup and reference,"SORTBY(array,by_array1,[sort_order1],[by_array2],[sort_order2],...)","=SORTBY(A1:A3,B1:B3,1)",Sort data by multiple criteria.,Data management tasks.,Report preparations.,Complex sorting needs.
426,SQRT,Returns a positive square root,Math and trigonometry,SQRT(number),=SQRT(16),Calculate square root.,Mathematical computations.,Engineering calculations.,Statistical analyses.
427,SQRTPI,Returns the square root of (number * pi),Math and trigonometry,SQRTPI(number),=SQRTPI(2),Calculate square root of (number × ?).,Mathematical modeling tasks.,Engineering problems.,Statistical evaluations.
428,STANDARDIZE,Returns a normalized value,Statistical,"STANDARDIZE(x,mean,standard_dev)","=STANDARDIZE(75,50,10)",Standardize data points (z-score).,Statistical analysis.,Benchmark comparisons.,Data normalization tasks.
429,STDEV,Estimates standard deviation based on a sample,Compatibility,"STDEV(number1,[number2],...)",=STDEV(A1:A7),Calculate sample standard deviation.,Statistical analysis.,Quality control tasks.,Risk assessment.
430,STDEV.P,Calculates standard deviation based on the entire population,Statistical,"STDEV.P(number1,[number2],...)",=STDEV.P(B1:B17),Population standard deviation calculation.,Complete dataset analysis.,Financial modeling tasks.,Risk management evaluations.
431,STDEV.S,Estimates standard deviation based on a sample,Statistical,"STDEV.S(number1,[number2],...)",=STDEV.S(C1:C12),Sample standard deviation calculation.,Research data evaluations.,Performance analysis.,Statistical quality control.
432,STDEVA,"Estimates standard deviation based on a sample, including numbers, text, and logical values",Statistical,"STDEVA(value1,[value2],...)",=STDEVA(A1:A2),Standard deviation including logical/text as numbers.,Mixed-data analysis.,Survey data assessments.,Statistical reporting.
433,STDEVP,Calculates standard deviation based on the entire population,Compatibility,"STDEVP(number1,[number2],...)",=STDEVP(B1:B7),Legacy population standard deviation.,Historical statistical evaluations.,Financial data analyses.,Risk modeling tasks.
434,STDEVPA,"Calculates standard deviation based on the entire population, including numbers, text, and logical values",Statistical,"STDEVPA(value1,[value2],...)",=STDEVPA(A1:A2),Population standard deviation with logical/text as numbers.,Mixed data analyses.,Statistical evaluations.,Survey data modeling.
435,STEYX,Returns the standard error of the predicted y-value for each x in the regression,Statistical,"STEYX(known_y's,known_x's)","=STEYX(A1:A3,B1:B3)",Standard error of regression estimate.,Regression analysis.,Statistical modeling tasks.,Predictive analysis.
436,STOCKHISTORY,Retrieves historical data about a financial instrument,Information,"STOCKHISTORY(stock,start_date,[end_date],[interval],[headers],[properties])","=STOCKHISTORY(""MSFT"",""2025-01-01"",""2025-01-10"")",Retrieve historical stock data.,Financial market analysis.,Investment research.,Stock trend evaluations.
437,STOCKHISTORY,Retrieves historical data about a financial instrument and loads it as an array,Information,"STOCKHISTORY(stock,start_date,[end_date],[interval],[headers],[property0],[property1],...)","=STOCKHISTORY(""AAPL"",""2025-01-01"",""2025-01-15"")",Historical stock data retrieval.,Investment research.,Financial reporting.,Market trend analyses.
438,SUBSTITUTE,Substitutes new text for old text in a text string,Text,"SUBSTITUTE(text, old_text, new_text, [instance_num])","=SUBSTITUTE(""Excel 2025"",""2025"",""2026"")",Text replacement tasks.,Data cleansing.,Standardize naming conventions.,Report formatting.
439,SUBTOTAL,Returns a subtotal in a list or database,Math and trigonometry,"SUBTOTAL(function_num,ref1,[ref2],...)","=SUBTOTAL(9,A1:A8)",Calculate subtotals dynamically.,Report generation tasks.,Data summarization.,Filtered data evaluations.
440,SUM,Adds its arguments,Math and trigonometry,"SUM(number1,[number2],...)",=SUM(A1:A9),Calculate sum of values.,Sales reporting.,Expense tracking.,Financial modeling.
441,SUMIF,Adds the cells specified by a given criteria,Math and trigonometry,"SUMIF(range,criteria,[sum_range])","=SUMIF(A1:A9,"">50"")",Conditional summation.,Sales target analyses.,Inventory stock checks.,Budget evaluation tasks.
442,SUMIFS,Adds the cells in a range that meet multiple criteria,Math and trigonometry,"SUMIFS(sum_range,criteria_range1,criteria1,[criteria_range2,criteria2],...)","=SUMIFS(C1:C9,A1:A9,""Apple"",B1:B9,"">50"")",Multiple condition summation.,Complex sales analyses.,Financial reports.,Product evaluation tasks.
443,SUMPRODUCT,Returns the sum of the products of corresponding array components,Math and trigonometry,"SUMPRODUCT(array1,[array2],[array3],...)","=SUMPRODUCT(A1:A4,B1:B4)",Sum product of arrays.,Weighted average calculations.,Inventory valuations.,Revenue forecasting.
444,SUMSQ,Returns the sum of the squares of the arguments,Math and trigonometry,"SUMSQ(number1,[number2],...)",=SUMSQ(A1:A4),Sum of squares calculation.,Statistical analyses.,Error rate evaluations.,Data dispersion measures.
445,SUMX2MY2,Returns the sum of the difference of squares of corresponding values in two arrays,Math and trigonometry,"SUMX2MY2(array_x,array_y)","=SUMX2MY2(A1:A4,B1:B4)",Sum difference of squares.,Statistical data analysis.,Comparative evaluations.,Variance analyses.
446,SUMX2PY2,Returns the sum of the sum of squares of corresponding values in two arrays,Math and trigonometry,"SUMX2PY2(array_x,array_y)","=SUMX2PY2(A1:A4,B1:B4)",Sum total of squares.,Statistical modeling tasks.,Comparative assessments.,Data evaluation scenarios.
447,SUMXMY2,Returns the sum of squares of differences of corresponding values in two arrays,Math and trigonometry,"SUMXMY2(array_x,array_y)","=SUMXMY2(A1:A4,B1:B4)",Sum squared differences.,Statistical variance analysis.,Risk assessment.,Financial modeling tasks.
448,SWITCH,"Evaluates an expression against a list of values and returns the result corresponding to the first matching value. If there is no match, an optional default value may be returned.",Logical,"SWITCH(expression,value1,result1,[default])","=SWITCH(A1,""A"",100,""B"",90,80)",Conditional value assignments.,Dynamic pricing.,Score grading.,Report customization.
449,SYD,Returns the sum-of-years' digits depreciation of an asset for a specified period,Financial,"SYD(cost,salvage,life,per)","=SYD(5000,1000,5,2)",Sum-of-years' digits depreciation.,Asset management scenarios.,Financial planning tasks.,Budget forecasting.
450,T,Converts its arguments to text,Text,T(value),=T(A1),Return text from a value.,Data cleansing tasks.,Text data validation.,Database import preparations.
451,T.DIST,Returns the Percentage Points (probability) for the Student t-distribution,Statistical,"T.DIST(x,deg_freedom,cumulative)","=T.DIST(1.96,10,TRUE)",Student's t-distribution probabilities.,Statistical analysis.,Hypothesis testing.,Data interpretation tasks.
452,T.DIST.2T,Returns the Percentage Points (probability) for the Student t-distribution,Statistical,"T.DIST.2T(x, deg_freedom)","=T.DIST.2T(2.1, 15)",Two-tailed Student's t-distribution probability.,Hypothesis testing.,Statistical analysis scenarios.,Confidence interval calculation.
453,T.DIST.RT,Returns the Student's t-distribution,Statistical,"T.DIST.RT(x, deg_freedom)","=T.DIST.RT(1.5, 20)",Right-tailed t-distribution probability.,Statistical evaluations.,Risk analysis tasks.,Research data assessments.
454,T.INV,Returns the t-value of the Student's t-distribution as a function of the probability and the degrees of freedom,Statistical,"T.INV(probability, deg_freedom)","=T.INV(0.95, 20)",Inverse t-distribution (left-tailed).,Threshold calculations.,Statistical modeling.,Research analysis.
455,T.INV.2T,Returns the inverse of the Student's t-distribution,Statistical,"T.INV.2T(probability, deg_freedom)","=T.INV.2T(0.05, 15)",Two-tailed inverse t-distribution.,Confidence interval tasks.,Statistical evaluations.,Hypothesis testing scenarios.
456,T.TEST,Returns the probability associated with a Student's t-test,Statistical,"T.TEST(array1, array2, tails, type)","=T.TEST(A1:A5,B1:B5,2,1)",Conduct t-tests between datasets.,Statistical analysis.,Hypothesis testing.,Research evaluations.
457,TAKE,Returns a specified number of contiguous rows or columns from the start or end of an array,Lookup and reference,"TAKE(array, rows,[columns])","=TAKE(A4:C13,3)",Extract subset of data.,Data sampling tasks.,Report generation.,Data summarization.
458,TAN,Returns the tangent of a number,Math and trigonometry,TAN(number),=TAN(PI()/4),Calculate tangent of angles.,Geometry problems.,Engineering analyses.,Physics simulations.
459,TANH,Returns the hyperbolic tangent of a number,Math and trigonometry,TANH(number),=TANH(1),Hyperbolic tangent calculation.,Advanced mathematical modeling.,Engineering tasks.,Scientific analyses.
460,TBILLEQ,Returns the bond-equivalent yield for a Treasury bill,Financial,"TBILLEQ(settlement,maturity,discount)","=TBILLEQ(""2025-01-01"",""2025-07-01"",0.05)",Calculate Treasury bill equivalent yield.,Investment analysis.,Financial evaluations.,Yield scenario assessments.
461,TBILLPRICE,Returns the price per $100 face value for a Treasury bill,Financial,"TBILLPRICE(settlement,maturity,discount)","=TBILLPRICE(""2025-01-01"",""2025-07-01"",0.05)",Treasury bill pricing.,Financial modeling tasks.,Investment planning.,Market evaluation scenarios.
462,TBILLYIELD,Returns the yield for a Treasury bill,Financial,"TBILLYIELD(settlement,maturity,pr)","=TBILLYIELD(""2025-01-01"",""2025-07-01"",99)",Yield calculation for Treasury bills.,Financial market analysis.,Investment evaluations.,Yield management.
463,TDIST,Returns the Student's t-distribution,Compatibility,"TDIST(x, deg_freedom, tails)","=TDIST(2,10,2)",Legacy t-distribution calculation.,Historical data analyses.,Statistical modeling.,Research studies.
464,TEXT,Formats a number and converts it to text,Text,"TEXT(value, format_text)","=TEXT(A3,""mm/dd/yyyy"")",Format numbers as text.,Date formatting tasks.,Report preparation.,Data presentation.
465,TEXTAFTER,Returns text that occurs after given character or string,Text,"TEXTAFTER(text, delimiter, [instance_num], [match_mode], [match_end], [if_not_found])","=TEXTAFTER(""Excel-2025"",""-"")",Extract text after delimiter.,Data parsing.,Text manipulation tasks.,Report generation.
466,TEXTBEFORE,Returns text that occurs before a given character or string,Text,"TEXTBEFORE(text, delimiter, [instance_num], [match_mode], [match_end], [if_not_found])","=TEXTBEFORE(""2025-Excel"",""-"")",Extract text before delimiter.,Data cleansing.,Text parsing tasks.,Data extraction.
467,TEXTJOIN,Combines the text from multiple ranges and/or strings,Text,"TEXTJOIN(delimiter, ignore_empty, text1, [text2],...)","=TEXTJOIN("","",TRUE,A3:A5)",Combine text strings dynamically.,Data merging tasks.,Report preparations.,Data summarization.
468,TEXTSPLIT,Splits text strings by using column and row delimiters,Text,"TEXTSPLIT(text, col_delimiter, [row_delimiter], [ignore_empty], [match_mode], [pad_with])","=TEXTSPLIT(""A,B,C"","","")",Split text into array.,Data parsing tasks.,Text data extraction.,Report creation.
469,TIME,Returns the serial number of a particular time,Date and time,"TIME(hour, minute, second)","=TIME(12,30,15)",Create time values.,Scheduling tasks.,Time data entry.,Data logging.
470,TIMEVALUE,Converts a time in the form of text to a serial number,Date and time,TIMEVALUE(time_text),"=TIMEVALUE(""1:45 PM"")",Convert text to time.,Data formatting tasks.,Time analysis.,Spreadsheet automation.
471,TINV,Returns the inverse of the Student's t-distribution,Compatibility,"TINV(probability, deg_freedom)","=TINV(0.1, 12)",Legacy inverse t-distribution.,Historical statistical analyses.,Research modeling.,Confidence interval determination.
472,TOCOL,Returns the array in a single column,Lookup and reference,"TOCOL(array, [ignore], [scan_by_col])",=TOCOL(A1:C3),Convert array into single column.,Data restructuring.,Data import tasks.,Array flattening.
473,TODAY,Returns the serial number of today's date,Date and time,TODAY(),=TODAY(),Current date retrieval.,Date stamping.,Daily report generation.,Spreadsheet automation.
474,TOROW,Returns the array in a single row,Lookup and reference,"TOROW(array, [ignore], [scan_by_col])",=TOROW(A2:C4),Convert array into single row.,Data transformation tasks.,Array flattening.,Data management scenarios.
475,TRANSLATE,Translates a text from one language to another,Text,"TRANSLATE(text, from_characters, to_characters)","=TRANSLATE(""ABCD"",""AB"",""XY"")",Replace characters in text strings.,Data cleansing tasks.,Text standardization.,Report formatting.
476,TRANSPOSE,Returns the transpose of an array,Lookup and reference,TRANSPOSE(array),=TRANSPOSE(A1:C2),Switch rows and columns.,Data manipulation tasks.,Report formatting.,Data restructuring.
477,TREND,Returns values along a linear trend,Statistical,"TREND(known_y's, [known_x's], [new_x's], [const])","=TREND(A1:A5,B1:B5,B6:B10)",Linear trend forecasting.,Sales forecasting.,Financial analyses.,Predictive modeling.
478,TRIM,Removes spaces from text,Text,TRIM(text),"=TRIM("" Excel "")",Remove extra spaces from text.,Data cleansing tasks.,Text standardization.,Data formatting.
479,TRIMMEAN,Returns the mean of the interior of a data set,Statistical,"TRIMMEAN(array, percent)","=TRIMMEAN(A1:A10, 0.2)",Calculate trimmed mean of dataset.,Statistical analysis.,Outlier management.,Data summarization.
480,TRIMRANGE,"Scans in from the edges of a range or array until it finds a non-blank cell (or value), it then excludes those blank rows or columns",Lookup and reference,"TRIMRANGE(array, percent)","=TRIMRANGE(A1:A20, 0.1)",Trim dataset by removing extremes.,Outlier removal.,Statistical cleaning.,Dataset preparation.
481,TRUNC,Truncates a number to an integer,Math and trigonometry,"TRUNC(number, [num_digits])",=TRUNC(7.89),Truncate decimals without rounding.,Financial reporting.,Inventory calculations.,Data normalization.
482,TTEST,Returns the probability associated with a Student's t-test,Compatibility,"TTEST(array1, array2, tails, type)","=TTEST(A1:A3,B1:B3,2,2)",Legacy t-test calculation.,Historical data analyses.,Statistical comparison.,Experimental assessments.
483,TYPE,Returns a number indicating the data type of a value,Information,TYPE(value),=TYPE(A1),Return data type of a cell.,Data validation tasks.,Data type checking.,Automation scripts.
484,UNICHAR,Returns the Unicode character that is references by the given numeric value,Text,UNICHAR(number),=UNICHAR(65),Return Unicode character by number.,Symbol insertion.,Text encoding tasks.,Multilingual data management.
485,UNICODE,Returns the number (code point) that corresponds to the first character of the text,Text,UNICODE(text),"=UNICODE(""A"")",Return Unicode number of character.,Text encoding analyses.,Data import checks.,Character assessments.
486,UNIQUE,Returns a list of unique values in a list or range,Lookup and reference,"UNIQUE(array, [by_col], [exactly_once])",=UNIQUE(A1:A8),Extract unique values.,Duplicate data removal.,Data cleansing tasks.,Report summarization.
487,UPPER,Converts text to uppercase,Text,UPPER(text),"=UPPER(""excel"")",Convert text to uppercase.,Text standardization.,Data cleansing.,Report formatting.
